Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
17.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
20.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
21.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
22.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
23.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
24.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
27.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
28.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
29.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
30.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
31.03.00;234.935,00;88.912,00;73.669,00;238.885,00;262.203,00;588.146,00;737.295,00;265.806,00;382.493,00;167.956,00;390.224,00;138.422,00;69.612,00;11.823,00;68.276,00;58.249,00;66.793,00;217.181,00;378.074,00;557.542,00
03.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
04.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
05.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
06.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
07.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
10.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
11.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
12.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
13.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
14.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
17.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
18.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
19.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
20.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
21.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
24.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
25.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
26.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
27.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
28.04.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
01.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
02.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
03.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
04.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
05.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
08.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
09.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
10.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
11.05.00;245.423,00;87.361,00;77.913,00;241.910,00;264.384,00;610.811,00;687.887,00;266.418,00;367.517,00;169.949,00;399.485,00;140.411,00;70.826,00;10.977,00;69.587,00;57.753,00;68.228,00;198.753,00;384.286,00;578.527,00
