Date;AIG;ALL;BRK;MET;PRU;BAC;C;GS;JPM;LEH;MS;AXP;BK;COF;PNC;STT;USB;WFC;FMCC;FNMA
02.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
03.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
07.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
08.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
13.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
15.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
16.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
17.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
21.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
22.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
23.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
27.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28.03.00;32.343,00;14.875,00;10.141,85;76.110,00;65.603,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
